day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
7,2016,1,3,01/03/2016,44.4,29.4,1010.4,10,15.5,22.9,33,52,34,0,999.9,0,432
7,2015,1,4,01/04/2015,48.6,46.9,1015.4,1.9,15.5,22.9,28.9,54,30,0.21,999.9,1,381
7,2013,1,27,01/27/2013,21.7,4.7,1025.6,10,16.3,22.9,35,28.9,17.1,0,999.9,0,429
2,2015,1,13,01/13/2015,32.6,25.6,1028.5,8.4,16.3,22.9,28.9,52,26.1,0.82,999.9,0,613
5,2013,1,18,01/18/2013,28.1,16.6,1023.2,7.5,15,24.1,32.1,39.9,15.1,0.01,999.9,1,561
4,2015,1,1,01/01/2015,31.8,15.1,1018.6,9.9,13.6,24.1,33,39.9,21.9,0,999.9,0,395
1,2016,1,11,01/11/2016,43.2,30.5,1005.5,8.4,17.5,24.1,31.1,57.9,35.1,2.17,999.9,1,680
1,2014,1,20,01/20/2014,41,27.9,1003.2,10,16.8,24.1,35,46.9,34,0,999.9,0,360
1,2015,1,26,01/26/2015,31.2,20.9,1015.7,6.7,12.7,24.1,31.1,43,26.1,0,999.9,0,484
3,2020,1,8,01/08/2020,37.2,31.1,1009.8,8.4,14.1,24.1,35,43,33.1,0.49,999.9,1,451
1,2016,1,4,01/04/2016,38.2,27.4,1011.5,10,13.5,24.1,31.1,52,34,0,999.9,0,601
6,2013,1,19,01/19/2013,35.9,26.6,1026.4,9.2,15.3,24.1,32.1,46.9,16,0,999.9,0,484
3,2017,1,25,01/25/2017,41.1,35.1,995.2,8.5,17.4,24.1,33,55,37.9,0.4,999.9,0,576
6,2017,1,28,01/28/2017,38.7,23.1,1000.8,10,18.3,25.1,33,45,36,0,999.9,0,501
6,2018,1,20,01/20/2018,38.1,32.5,1010.9,10,14.3,25.1,34,46.9,24.1,0,999.9,0,530
4,2014,1,2,01/02/2014,31.1,22.4,1020.8,5.8,10.9,25.1,34,35.6,26.1,0,999.9,0,603
1,2015,1,19,01/19/2015,41.7,36,1005,8.2,13.5,25.1,46,50,30.9,0.26,999.9,0,496
7,2015,1,18,01/18/2015,40,32.8,1021.4,9.2,13.4,25.1,31.1,50,14,0,999.9,0,961
6,2015,1,24,01/24/2015,38.5,34.8,1003.3,6.7,12.4,25.1,33,45,27,0.23,999.9,0,428
